Incident_ID,Offense,Zipcode
74870,ASSAULT WITH SEXUAL MOTIVE (NON-AGGRAVATED),27516
74869,LOUD MUSIC/PARTY,27516
74871,DISORDERLY CONDUCT,27514
74872,SIMPLE ASSAULT-OTHER,27514
74874,B&E RESIDENCE NO FORCE,27516
74681,LARCENY- ALL OTHER,27514
74883,INFORMATION,27516
74876,DAMAGE TO PROPERTY(NON-CRIMINAL),27517
74678,HARASSMENT,27514
74879,B&E LARCENY F/VEHICLE,27516
74679,CHECK ON WELL BEING,27514
74893,B&E RESIDENCE NO FORCE,27514
74680,B&E LARCENY F/VEHICLE,27517
74884,SUSPICIOUS PERSON,<Null>
74683,LOUD MUSIC/PARTY,27514
74878,COMMUNITY OUTREACH,27514
74686,LOUD MUSIC/PARTY,27707
74877,SECURITY SURVEY,27514
74682,K-9 SNIFF,27516
74880,LARCENY OF GAMEBOY,27514
74684,SIMPLE ASSAULT-OTHER,27514
74882,SECURITY SURVEY,27514
74685,ASSAULT WITH A DEADLY WEAPON,27516
74881,SECURITY SURVEY,27514
74688,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74696,B&E LARCENY F/VEHICLE,27514
74697,B&E LARCENY F/VEHICLE,27514
74687,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27514
74690,LARCENY FROM MOTOR VEHICLE,27516
74689,LARCENY FROM MOTOR VEHICLE,27516
74691,INFORMATION,27514
74698,SIMPLE ASSAULT-OTHER,27516
74692,VANDALISM / DAMAGE TO PROPERTY (WILLFUL),27516
75069,INDECENT LIBERTIES,27516
74694,LARCENY- ALL OTHER,27517
74693,LARCENY- ALL OTHER,27514
74695,SCHEDULE II POSSESSION,27514
74699,ASSIST OTHER AGENCY,27516
74701,SUSPICIOUS,27516
74704,INFORMATION,27514
74700,K-9 SNIFF,27516
74705,FALSE REPORT,27514
74395,LARCENY FROM MOTOR VEHICLE,27514
